window_id,project,video_id,video_filename,tester_name,start_time,end_time,duration,text,initial_observation,possible_friction_type,possible_sentiment,possible_narration_type,primary_evidence,notes
Sharelinsonny_uq_w026,the-university-of-queensland,Sharelinsonny_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_Sharelinsonny.mp4,Sharelinsonny,1818.13,1880.76,62.63,"So we can improve it based on your needs, personalized, your online experience with us, you use cookies for different reasons. Some cookies are necessary for technical reasons, while other cookies support things like Analytics or advertising and marketing activities, pixel codes are similar to cookies and a lot making of user action. Regarding Facebook pixel, you can manage your setting within your Facebook account. OK, that's good. Oh, OK. Mm. As I scroll through a section of all the the. It feels quite alone. Written in formal legal language, it's not very user-friendly, and I wouldn't realistically read all of it in detail, so.","Tester finds cookie/privacy text too long, formal, and not user-friendly.",F1 Comprehension Friction,negative,feedback_evaluation,"""formal legal language, it's not very user-friendly""",Clear content readability issue caused by legal language and length.
margieflint_wa_w069,department-of-premier-and-cabinet-wa,margieflint_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_margieflint.mp4,margieflint,4885.29,4946.029,60.739,"Feedback I'm assuming is down the bottom where we usually are on these pages, here we go, send feedback. I'll fill in the form. Uh, child protection, disabilities and feedback, general complaints. OK, so I'll fill general complaints. And well this see. Mm And my details. Mm No, it's so sick yeah. Mm, 29. Mary Strange.",Tester expects feedback at the bottom of the page and starts navigating a feedback/complaints form.,none No observed friction,neutral,navigation,"""Feedback I'm assuming is down the bottom""",Feedback pathway is being located through page convention; no clear blocker yet.
ramazankawish_wa_w026,department-of-premier-and-cabinet-wa,ramazankawish_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ramazankawish.mp4,ramazankawish,1874.819,1939.729,64.91,"And find a way how to get out of this situation. Coercive control is family. And domestic violence and it's important to, um, recognize the, the warning signs if you think you might be experiencing coercive control, you should, um, Know that? OK, what's happening? The controlling behavior is not OK. That's the first thing. Controlling behavior is family and domestic violence. It is not your fault. You should not blame yourself, that means. You are not alone. There is support. Contacting a um confidential support service for advice is a good first step. No matter what your situation is, help is available, a self-assessment, um, um.","Tester reads and summarizes support guidance for coercive control, including help availability and self-assessment.",none No observed friction,neutral,reading_page,"""There is support... help is available""",Safety/support content is the focus; mostly reading and interpreting guidance.
Sharelinsonny_wa_w051,department-of-premier-and-cabinet-wa,Sharelinsonny_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_Sharelinsonny.mp4,Sharelinsonny,3564.459,3630.969,66.51,"So Overall, the page provides useful information about family and domestic violence and where people can get our help. So it's, the heading is clear, simple explanation, and visible support resource make this page more helpful and for the people who might be looking for information or assistance. I think this is Of me. Hello, I am back at the top of the family and domestic violence page, and I am going to explore it again as if I am looking for more information or support, and I am going to click um. You know, the section that Feel most relevant or useful to understand the issue and find help. So, um, Let me have a look as I scroll down.",Tester positively evaluates the family and domestic violence page and then begins exploring relevant support sections.,none No observed friction,positive,feedback_evaluation,"""the heading is clear, simple explanation, and visible support resource""",Positive feedback on clarity and support visibility.
reececraigie_wa_w067,department-of-premier-and-cabinet-wa,reececraigie_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_reececraigie.mp4,reececraigie,4660.729,4726.899,66.17,"Maybe it's my, OK, this is an easy book. Uh, something about the bold. This book has some hard words, this means words that are hard to understand. The first time we write a hard word, the word is in bold. The word will be followed by what it means. Gotcha, OK, gaslight you, this is when someone tries to confuse you on OK, great. Let me jump out of this. OK, so. Uh, my thoughts and reactions, you got that. Please explain whether it's clear who the resource is for, yep. I thought the, I thought the layout was really good. The images were great and powerful, mostly. Um, Nothing felt confusing, I've resolved the whole bold verse meaning after it. I scanned too quickly and assumed that that was going to speak to me, but that's fine what you've done.",Tester evaluates an Easy Read resource positively and says the initial confusion about bold words was resolved.,none No observed friction,positive,feedback_evaluation,"""Nothing felt confusing""",Minor initial misunderstanding was resolved by the resource structure.
giuliaclemente26_uq_w004,the-university-of-queensland,giuliaclemente26_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_giuliaclemente26.mp4,giuliaclemente26,277.529,341.51,63.981,"So Which one is this? Uh, it's leave me alone. OK, the thing that really bothers me is when They try and have you download things or input things that you haven't even had the time to look at the landing page, like, Get off my back, um. OK, so. This website at a glance looks. Can I say dodgy? Dodgy to me in the sense where it seems to me those online courses from providers that give, heaps of different courses, kind of boot camps, um, And there are not really.",Tester is frustrated by being asked to download or input information before understanding the landing page and questions site credibility.,F2 Confidence Friction,negative,feedback_evaluation,"""download things or input things that you haven't even had the time to look at the landing page""",Expectation mismatch and trust/credibility concern; tester describes the site as dodgy.
ghum_wa_w029,department-of-premier-and-cabinet-wa,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,2043.0,2103.35,60.35,"Um, and so there's some guidance on how to interact with the person. Who you're concerned about. We must, we must, room share toolbar, window, system dialogue, record to this computer. Safari, Safari, HTTPS College. Um, this might be quite a quick task, um, empty group. So I've clicked on the file, the, um, the PDF. Page one containing. And Empty group, page one containing in page one containing content page one containing empty group. Page one containing empty group. Page one containing page one containing out of my content, close button, page one containing. So. It's not the sort of file I would keep, um. Yeah, I've got no access to the the content in here at all. Uh, it might be something I could use an app on my phone to try and do some OCR. Um. Uh Let's see, Phil.",Tester opens a PDF but cannot access the content with their screen reader.,F3 Accessibility Friction,negative,feedback_evaluation,"""I've got no access to the content in here at all""",Severe PDF accessibility issue; possible need for OCR or accessible PDF remediation.
ghum_suncorp_w025,suncorp-insurance,ghum_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_ghum.mp4,ghum,1761.68,1832.67,70.99,"More about accidental, we offer cover for accidental loss or damage for building insurance. What's included, Heading level 2, constructed breaking a window, image. Want to add this to your existing policy? Get a quote. Available as an optional cover with our any combined home and accidental damage at home heading level 1. Heading not found. What's included, heading level 2. How to get any optional accidental damage at home, heading level 2. OK. New customer. Add any accidental damage at home optional cover to your any combined home and contents. A building or any contents quote for an additional premium. It's not easy. Get a quote. Existing customer, call us on to add accident. What is any accidental damage at home? Heading level 2. AAA's accidental damage at home is an optional cover which you can add to your. Visited Amy combined home and contents, comma. Amy building only or Ay contents only. Insurance policy, this cover can be, this coverage if you're worried about loss or damage caused by accidents around the house. If you accidentally drop, knock, steal or otherwise damage something at home, and it is covered by the policy. This optional cover can assist with repair or replacement. It can apply to your house itself, your contents, or both, depending on your policy. Frequently asked questions, heading level 2, any accidental damage at home. Am I covered for accidental damage button. If you haven't. Visited Amy home and contents, Amy building only. 4. Amy content insurance policy, your building and contents are covered for loss or damage caused by insured events such as fire, storm, you have the option of also covering the building in end of Maine. Content information. Got a question? Ask the Amy virtual close button, chat button, navigation. List 4 items, products 104, List 7 items, level 2. OK, so yeah. Frequently asked question, what is any accidental damage at home? How to get any optional accidental damage at home? What's included? Heading level 2. Accidental damage at home, Heading level 1. Heading not found. What's included, Heading level 2. Accidental damage at home, heading level 1. What did that all come down to Visited explore accidental damage at home main HDTPS colon slash slash. How much extra of those other benefits? Heading level 2.",Tester uses screen-reader heading navigation and finds the page/quote path difficult.,F3 Accessibility Friction,negative,navigation,"""Heading not found... It's not easy""",Screen-reader navigation and heading structure appear to create friction; also linked to quote pathway.
Sharelinsonny_uq_w004,the-university-of-queensland,Sharelinsonny_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_Sharelinsonny.mp4,Sharelinsonny,267.399,333.79,66.391,"OK, so I think um I think search more. Like, uh, Maybe masters of business. Australian uni. Uh She from the Institute of Business. And multiple 3. It's just a, it's a few options here. It is also the same as the So here are some top of Australians in university. This one, Melbourne, no need for business program and research output, offers a Master of Business affairs specialization.",Tester searches externally for Master of Business options and reviews multiple university results.,F6 Content Not Found,neutral,navigation,"""Maybe masters of business. Australian uni""",External search behaviour suggests findability/exploration rather than direct site success.
Sharelinsonny_uq_w056,the-university-of-queensland,Sharelinsonny_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_Sharelinsonny.mp4,Sharelinsonny,3986.55,4051.57,65.02,OK Check here. Asking about the I wanna choose the my availability. Mm. It's that on. This is my field of study. What's that mean? Probably just search.,Tester is confused by a field label while trying to choose availability or field of study.,F1 Comprehension Friction,negative,thinking_aloud,"""What's that mean?""",Form label or category terminology is unclear.
reneerussell99_uq_w009,the-university-of-queensland,reneerussell99_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_reneerussell99.mp4,reneerussell99,791.89,864.679,72.789,"You know, I'll press the register button and see what happens. OK, please answer the question citizenship status. I didn't see that, um. Let me just have another look back through. Oh, that's interesting, it's right up the top. OK, I was expecting that to be, um, where it's asking like, are you an Australian citizen, do you intend to apply for a student visa, OK, let me um. Let me answer this. Now I'll try and register again.",Tester misses a citizenship status question and expected it to appear near related visa/citizenship fields.,F2 Confidence Friction,mixed,navigation,"""I didn't see that... I was expecting that to be""",Form validation/field placement issue interrupts registration attempt.
info_wa_w014,department-of-premier-and-cabinet-wa,info_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_info.mp4,info,1003.82,1070.599,66.779,"A national sexual assault domestic family violence counseling service. Phone 1,800-737-70032. Roll at 205. Visit Link Women's domestic violence helpline. Provide support for women with or without children who are 1,8007 339. SAR 35. Link men's dostic provides cell phone information 1800-000. This helpline is operated by Link provides free supporting 1,800 500 bullet. Link concerns if you are concerned about 1,800 270 if you are calling outside 1,800 190 and provides Western must child protection and a list. Heading level 2, raise awareness about coercive control. We all have a role to play in preventing family and domestic violence. Raising awareness in our communities or on social media can help others spot the signs. Find out how to. Link help raise awareness about coercive control and family and then you can also find out how to link stand up against family and promote respect. Heading level 2, see also some pages region. Heading level 2, level 1 link on the of the page. Heading level 2, level 1 my situation. Support and advice for the different types of situations you find out the different types of abuse, how it impacts everyone stand up against it. Pending level 2, level 1, like understanding family and domestic violence. Subpages region. Pending level 2 also pending 21 understanding. Find out the different types of pending level 2 level support and pending level 2. Find social media spend at some pages region. Pending level 2 other helpful resources. Learn more about coercive control. Link, link, link, link, link, pading level 2 provided by. Look, it's a good landing page. It sort of lays it all out. You got the different scenarios there, and you can just follow the pathway of, you know, if you think someone is being abusive, you can sort of follow that pathway and get some advice on how to approach that conversation or what to do in that situation. I think that's really clear.",Tester is reading helpline and support service information through a screen-reader style transcript.,none No observed friction,neutral,reading_page,"""Women's domestic violence helpline""",Support service content is central; no explicit negative evaluation in this window.
info_wa_w027,department-of-premier-and-cabinet-wa,info_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_info.mp4,info,1902.9,1967.156,64.256,"Heading level 2, level 1, link, safety tools. Find out more about the tools and support. Heading level 2, ways you can support and assist someone experiencing family. Heading Level 2, level 1, Link, Help raise awareness. Find social media Heading Level 2, level 1. Link, promoting respectful relationships. Find out what healthy relationships look like. Heading Level 2, Level 1, Li, prevention of family and domestic violence. The Department of Communities is working to our vision of the Western Australia. We're all heading level 2. Western Australia's strategy to reduce Western Australia's strategy to reduce family and domestic level 2 family and domestic violence find resources and petting petting find resources and translations to help raise awareness about control. Heading Level 2. Other useful links. Heading level 2 provided by heading level 2 lists 7 items. Wallet 1 of 7, 16 days in WA. Wallet link link is external. Wallet 3 of link Link is heading level 2 provided by Department of Communities. Link government of Western heading heading level 2, Family and domestic violence resources. Maybe it wasn't coercive control a couple of times on this page. Link translated resources and like how, you know, I guess there's different aspects of it, but it is still a bit of repetition. And um maybe makes it a little bit more convoluted. Like you've got your support lines up the top here and then you've got a whole heading for them again like you um level 2 level 1 I want to help someone experiencing hope I'm making sense. 2, level 1 promoting respectful relationships. uh, but like generally it is all pretty clear. The main accessibility issues I'm seeing on this page are the main menu at the top.","Tester reads a list of page headings and links for safety tools, resources, and prevention information.",none No observed friction,neutral,reading_page,"""Heading level 2... safety tools""",Mostly screen-reader reading/navigation output without an explicit friction judgement.
ramazankawish_wa_w075,department-of-premier-and-cabinet-wa,ramazankawish_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ramazankawish.mp4,ramazankawish,5344.43,5414.24,69.81,"For general complaints and feedback about the Department of Communities. Whether you are here. OK. Um, I'm struggling to find the feedback page, to be honest. Do we have domestic violence here? No. Maybe I go to court safe. Control and put my feet back in there. I think at the end of each headline headings there is. Um, An option to put your feet back. No, actually it's not.",Tester struggles to locate the feedback page or appropriate feedback route.,F6 Content Not Found,negative,navigation,"""I'm struggling to find the feedback page""",Clear findability issue for feedback/complaints pathway.
fjone7_uq_w066,the-university-of-queensland,fjone7_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_fjone7.mp4,fjone7,4810.27,4877.49,67.22,"Right. Let's upload a file. We have a standard file upload dialogue fairly accessible for me, where you can just shift tab, or you can search and type file parts and you just hit enter on the file you want to upload. So I'm in my downloads test data for UQ. 13.4 attachments. Additional attachments, I have none, but normally attached the following qualification? Would you like that? Would I like to add another qualification? No, thank you. Excluded or refused entry criterion has never been refused relevant. OK, so you can, um, you can put work experience in a CV or through the fields below. For a Master of Business, I don't think that's necessarily as relevant as your academics.",Tester reports the file upload dialogue is accessible and proceeds through attachment questions.,none No observed friction,positive,task_response,"""standard file upload dialogue fairly accessible for me""",Positive accessibility-related observation; no friction in this upload step.
tianarosie1_wa_w015,department-of-premier-and-cabinet-wa,tianarosie1_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_tianarosie1.mp4,tianarosie1,1049.93,1119.569,69.639,"arrangement. Sorry, I'm silent because it's very accusations. Uh, informative and it's very sort of. Uh, not jarring, but like very. Full-on to read all of the examples that could be part of coercive control, um, so from all of that, obviously the neighbor in the scenario is experiencing coercive control, and then here's what to do. And then it talks about support services, so, yeah. Uh, I did kind of do this already in the previous task, but essentially I'm gonna read the page top to bottom and sort of have a look at its usability.",Tester finds coercive control examples informative but emotionally heavy/full-on to read.,F7 Excessive Effort,mixed,feedback_evaluation,"""very full-on to read all of the examples""",Sensitive content impact is central; not a usability blocker but important for case-study interpretation.
marychaunguyen_suncorp_w011,suncorp-insurance,marychaunguyen_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_marychaunguyen.mp4,marychaunguyen,825.169,905.89,80.721,"It can be more simple I guess for a homepage, simpler, um, maybe just listing main, um, insurance policies, like for example, home, car, business, etc. and then have all the drop-downs, there's just so much to go through, for someone who's doing, who's using a um voiceover, there's a lot to listen to, to go to where I need to get to, I guess, as a first time user, um, I guess if I went through headings it'd be it'd be different. Um, I can scroll through it quicker, I guess, um, but because I'm using, I'm just, I'm just going line by line at the moment here, that's just my feel at the moment if I'm if I'm reading it from top to bottom. Um, there's a couple of things that were a bit confusing, the scroll left, scroll or right, I don't know what that's used for. I pressed it, but nothing really happened, I don't know. I don't know what that's for, so that was a bit confusing there. Yeah, there's a lot of information, um, great that there's a lot of deals and stuff like that, which is great, maybe, you know, um, save, maybe have a banner at the top or something that's to say, yeah, you can save from $25 you know, if you go into whatever policies instead of having it listed out, um, each and every one on the main homepage. Um, other than that, yeah, it, to me, the feel is, there's a lot there.",Tester using VoiceOver finds the homepage information-heavy and some horizontal scroll controls confusing or nonresponsive.,F3 Accessibility Friction,mixed,feedback_evaluation,"""using a voiceover, there's a lot to listen to""",Accessibility and information overload issue; secondary interaction issue with scroll controls.
fjone7_uq_w098,the-university-of-queensland,fjone7_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_fjone7.mp4,fjone7,7097.37,7179.27,81.9,"So I've gone control home. This is recording, yes. Good. Yeah, awesome. Uh, and I'm gonna arrow down to the link that says My Account, and then we'll go from there. I mean, uh, yep, My Account. Heading down, multi-factor authentication. I'm gonna click on the link, heading down again. And then I've gone down another heading because the My Account. Hitting still had the same three links, changed my password, something else I can't remember, and then into MFA. So here we are MFA OK authentication password will be registered email address. Yeah. Hang on. What if we go authenticator app? What's this do? I actually would have preferred, before I do this, um, I actually would have preferred SMS notification because it's faster, um, and sure you can do email passwords, but like, what happens if your email account's compromised? Um, I mean, I, I have MFA on my email as well.",Tester navigates MFA information and raises security/preference concerns about authentication options.,F2 Confidence Friction,mixed,thinking_aloud,"""what happens if your email account's compromised?""",Security trust and MFA option preference are central; not purely a navigation issue.
thanoptions_uq_w008,the-university-of-queensland,thanoptions_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_thanoptions.mp4,thanoptions,831.239,899.479,68.24,"OK, so now we're gonna do task number 2. Um, so task two, it's a little bit more work, so I'll, I'll see if I can do that in, in the time just, um, reading through it. OK. Um, the website looks nice. I like it. It's nice and simple, it's clear, not too cluttered. Mm Um, the search function, that's really good. I like how easy it is to find the search function. Mm Um, it's got a case, so it's got the campuses information, that's good. I like that that's very quick to find.","Tester gives positive first impressions of the UQ site, especially simplicity and search findability.",none No observed friction,positive,feedback_evaluation,"""nice and simple, it's clear, not too cluttered""",Positive usability observation; no friction.
mgblackwell2001_suncorp_w006,suncorp-insurance,mgblackwell2001_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_mgblackwell2001.mp4,mgblackwell2001,426.51,504.029,77.519,"Things along those lines. Yeah. Beginning Amy's insurance service offering, and actually I want you to complete the request a quote form at this stage we're interested in understanding how a participants intuitively search for and navigate the Amy website to understand the services it offers. Seeming, seeming now to looking for home and contents insurance shows how you would navigate. To find information about home and contents insurance. From there, show us how you would navigate information to answer the key question on your mind. Is it clear and simple to understand what Amy offers? Please show us the point where you would generate a quote on the cover that you're curious about, but don't actually commence with form. I want to know how prospective customers navigate the AMI website to find information you're looking for. We're trying to assess whether search and navigation keys prospective of customers to accurate, relevant, trustworthy results about insurance options available.",Window mainly contains the task prompt and the tester restating what the navigation task requires.,none No observed friction,neutral,reading_page,"""how prospective customers navigate the AMI website to find information""","Task instruction reading, not a user friction event."
rae_uq_w052,the-university-of-queensland,rae_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_kris_rae.mp4,rae,3702.52,3764.83,62.31,"Um, and then so it's taken me to the same spot and I've said how to contact us about so and this is the application help and contact. Um, So if I go back, let's see. Um, Yeah, so I've explored a couple of different areas, like a couple of different ways that I could find, like get to that point. Um, so there's quite a lot of options depending on the circumstances on how to submit feedback, um, so I guess there, there is the opportunity or there is, um, some room where there could be errors like where enquiries I guess could be sent to the incorrect, um, team.",Tester finds several ways to reach feedback/help but notes that many options could route enquiries incorrectly.,F2 Confidence Friction,mixed,feedback_evaluation,"""quite a lot of options... enquiries... could be sent to the incorrect team""",Information architecture/routing clarity concern around contact or feedback options.
oliviamitchell22_suncorp_w007,suncorp-insurance,oliviamitchell22_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_oliviamitchell22.mp4,oliviamitchell22,471.429,533.5,62.071,"Uh, what else is there? Third party car? What does that mean? Uh, motorcycle, nope. Motor, what's third party? I have no clue. Caravan insurance, that's not me. Home and contents, OK, I think that's what we were looking at, so, what this sort of project is looking at, so. Seems like there's a good discount there. AMI driving test, for promotion, Uh, weather, yep, nice. Um, oh, I do like when they have, um, reviews, I just feel like. They do speak to the experience. Uh, Seems like there's quite a good backing there. That's really nice.","Tester does not understand the insurance term third party, while also giving positive feedback on reviews and backing.",F1 Comprehension Friction,mixed,thinking_aloud,"""What does that mean? ... I have no clue""",Insurance terminology clarity issue; positive trust signal from reviews is secondary.
