Order,Title,Instructions,Tips,Timeguide,TaskType,ExcludeFromCollation,RequiresPII,TaskURL
"8","Exploring Information Pathways","**Objective**  This task examines how participants naturally explore the Family and Domestic Violence page to learn more and find support. It assesses what information attracts attention, how participants choose pathways, and whether the content they discover feels helpful and informative.    **Task**  Return to the top of the page and reset your thinking. Now explore the page by clicking on the sections or links that feel most relevant or valuable to you. You don't need to stay on this page or any page, we actually want to understand where you'd go from here to source information and why you took that pathway.&#x20;    As you navigate, please explain:    • What draws your attention and why  • What you expect to find before clicking  • Why you choose certain links or sections","There is no right or wrong path. Please explore the page in whatever way feels natural and explain your thinking as you go. Do you end up finding the type of information that answers your questions or is the information irrelevant and unhelpful?","10 mins max","CNT","false","false","https://www.wa.gov.au/government/family-and-domestic-violence"
"6","Fact Sheet (PDF)","### **Objective**    Downloadable resources often don’t maintain accessibility in a way that’s consistent with the homepage. This task aims to evaluate the usability, clarity, and accessibility of the WA Government’s downloadable fact sheet on coercive control. Participants will assess whether the PDF effectively explains coercive control, provides practical guidance on how to help someone, and is accessible and usable for people with diverse abilities, literacy levels, and assistive technologies. The task will surface opportunities to improve content clarity, document structure, accessibility compliance, and overall usefulness.    ### Task&#x20;    Open and review the following fact sheet available via the website. Please read through the document from beginning to end.    As you review it, talk through your thoughts and reactions. Please comment on:    * Whether it is clear who the fact sheet is for and what it aims to help people do  * Whether it clearly explains what coercive control is and how to help someone  * Anything that feels confusing, unclear, or difficult to understand  * Please also describe whether you would save or share this document in a real situation    If you use accessibility tools (such as screen readers, zoom, or keyboard navigation), please comment on how well the document works with them.","If anything feels confusing, inaccessible, or could be improved, please explain what you would change and why. Please try to show any friction you experience. ","10 mins max ","PDF","false","false","https://www.wa.gov.au/government/publications/fact-sheet-coercive-control-how-help-someone"
"13","Providing Feedback via the Website ","**Please use fake data for this task**    **Objective**  This task evaluates how easy and accessible it is for members of the public to provide feedback on WA Government web content related to coercive control using the Department of Communities feedback and complaints form.    #### Task&#x20;    Open the page and look for where you might be able to provide feedback online about the information on coercive control.&#x20;    Once you locate the feedback form, begin the process of submitting feedback.    You do not need to provide real personal information. Please use **fake details** when completing the form (for example, submitting feedback from “Donald Duck”).    When you reach the end of the process, explain whether you feel confident that your feedback would reach the right place and what could be improved to make the process easier.","If at any point you feel unsure where to go, confused by the questions, or hesitant to continue, please explain what you experienced and why.","10 mins","FRM","false","false","https://www.wa.gov.au/government/coercive-control"
"3","WA Government Homepage ","#### Objective    This task explores how effectively the WA Government website helps members of the public understand what coercive control is and what support options may exist when they suspect a situation may involve controlling or harmful behaviour but are unsure of the terminology.    #### Scenario    Building on the previous scenario, you now suspect that what you’re seeing may be a form of coercive or controlling behaviour, but you’re still not entirely sure what that term means or whether it applies.    You want to better understand what coercive control actually is and see what help, advice, or support is available through the WA Government    #### **Task**    Using the WA Government website, show us how you would:    * learn more about **coercive control**  * understand whether the behaviours you observed might fit that definition  * find out what options or support services are available  * As you navigate, please talk through what you are looking for, what you expect to find, and what information helps you understand the situation.","We are interested in the steps you take, what information stands out to you, and whether the website helps clarify what coercive control means.","10 mins max","SRH;HOM","false","false","https://www.wa.gov.au/"
"5","Pathways to Learn more ","#### **Objective**    This task explores how participants move beyond the coercive control landing page to learn more about the topic. It examines which links, sections, or resources participants are most drawn to, what motivates their choices, and whether the information they find helps deepen their understanding of coercive control and available support.    The task will also assess whether the pathways presented on the page feel logical and helpful, and whether the information participants encounter is clear, informative, and relevant to the situation described in the earlier scenario.    #### Task    Return to the WA Government coercive control landing page.    Based on what you noticed during the previous task, begin exploring the page by clicking on the links, sections, or resources that most interest you or feel most relevant.    As you navigate, please:    * Explain what caught your attention and why you chose to click on it  * Talk through what you expect to find before opening a link  * Describe whether the information you find is helpful or informative  * Explain whether the content improves your understanding of coercive control or the situation described earlier    If you decide not to click on certain links or sections, please explain why.","There is no right or wrong path to follow. Please explore the page in whatever way feels most natural to you and explain your thinking as you go. We are interested in what draws your attention, what influences your decisions, and whether the information you find feels helpful.","10 mins max","NAV","false","false","https://www.wa.gov.au/government/coercive-control"
"4","Critical Review of the Coercive Control Landing Page","Please stay on the link we provide for this specific task    #### **Objective**    This task aims to critically evaluate the usability, accessibility, clarity, and effectiveness of the WA Government coercive control landing page. Participants will assess whether the page clearly explains coercive control, supports understanding across diverse audiences, and presents information in a way that is accessible, engaging, and actionable.&#x20;    #### Task&#x20;    Did you find this page naturally during the previous task while searching for information, or are you seeing it for the first time now? Now open the page below and **read through it from top to bottom**.    As you review the page, please talk through your thoughts and reactions.    We would like you to consider the page with a critical and evaluative mindset, rather than searching for information to solve a specific problem.    As you read, please tell us:    * What parts of the page you spend time on and what you skip  * Anything that feels confusing, unclear, or difficult to understand  * Whether the page helps you understand what coercive control is  * Whether the page clearly explains what someone could do next or where they could get help    How could it be improved?    This page is a core landing page- we'll ask you to score the usability of this coercive control landing page in the survey so please take a note","Please review the page as if you were helping the WA Government improve it for the public. If anything feels confusing, unnecessary, difficult to understand, or could be presented more clearly, please explain what you would change and why.","10 mins max","CNT;LND","false","false","https://www.wa.gov.au/government/coercive-control"
"2","Seeking Information About a Concerning Situation","### **Objective**    Sometimes people notice behaviour that feels concerning but may not know what it is called or whether it relates to a specific type of abuse.    In real life, people often start by searching online to learn more about what they are seeing and to understand whether help or support might be available.    This task explores where people go first, what they search for, and how easily they can find trustworthy information or support resources when trying to understand a situation that feels worrying or unusual.    ### **Scenario**    Imagine you live in Perth and a new family moved into your street about six months ago.    You’ve noticed that your neighbour often looks anxious and withdrawn. She only speaks to you when her husband is not around and seems nervous about being seen talking to others. She has made comments suggesting she doesn’t have access to her own phone and once mentioned that she needs permission to leave the house.    Today, she knocked on your door to ask if you had spare bread for her children. She explained that she wasn’t allowed to buy groceries herself because she upset her husband.    You can’t quite put your finger on what is happening, but the situation feels unsettling and worrying. You want to better understand what might be going on and whether there are resources or support services that could help.    ### Task    Using the internet, please show us where you would go to:    * Learn more about situations like this  * Understand whether support or help might exist  * Find information you would trust    As you search, please talk through what you are thinking, what you choose to click on, and why.","You may not know what the situation is called, and that is completely fine. Start your search in whatever way feels natural to you. We are interested in the steps you take and the terms you use when trying to understand something that feels concerning. Maybe you'd start with a google search or looking up information from a community group or specific information","5 mins max","SRH","false","false",""
"7","Critical Review of the Family and Domestic Violence Landing Page","**Please stay on the specific landing page provided for this task**    #### **Objective**      This task evaluates how clearly and effectively the WA Government’s Family and Domestic Violence page communicates its purpose, explains available support, and supports diverse users through clear structure, language, and accessible design.    ### **Task**    Open the page and review it from top to bottom, staying on this page. As you read, explain your thoughts and reactions.    Please comment on:    * What you think the purpose of the page is  * What you think each section is explaining  * What information stands out to you    Also describe:    * Any language or terms that feel confusing or unclear  * Whether the structure and headings are easy to follow    If you use accessibility features (such as screen readers, zoom, keyboard navigation, or high contrast), please comment on how well the page works with those tools.","As you review the page, imagine you are helping improve it for the public. If anything feels confusing, overwhelming, or difficult to use, please explain what you would change and why.","5 mins max ","NAV","false","false","https://www.wa.gov.au/government/family-and-domestic-violence"
"1","Terminology","#### **Context for this task**        The WA Government is exploring how the public understands certain terms used in information about domestic and family violence.    Some terms used in support services may be familiar to professionals but less clear to members of the public. Understanding how people interpret these terms when they first hear them will help the government determine whether the language is clear enough on its own or whether it needs to be explained differently.    This is not a test of your knowledge, and there are no right or wrong answers. In fact, uncertainty or different interpretations are very useful for this research. Please do not search for the term online. We are interested in your natural understanding based on what the phrase suggests to you.    #### &#xA;&#xA;**Task**    Before looking at any government websites or materials, please describe in your own words:    * What you think the **term coercive control** means  * What kinds of behaviours you think might fall under this term  * Whether you associate it with physical violence, non-physical behaviour, or both  * How confident you feel about your understanding of the term    Please talk through your thinking as you respond.","If you have never heard this term before or are unsure what it means, that is completely fine. Please share your first reaction and what the words suggest to you. Even if you are guessing or feel uncertain, explaining your thinking is very helpful for this research. We are interested in your natural interpretation, not the “correct” definition.","5 mins max ","CNT","false","false",""
"14","Thanks for listening WA ","The WA Communications team has opened up this very important website content for review and testing. That takes intention and a genuine willingness to improve. This task invites you to share a brief personal message with the WA Government Communications Team for taking the time to listen and co-design with a holistic representation of the community to improve the universal usability of their services.&#x20;    ### Instructions    This task is optional, personal and your words.&#x20;    In 10 seconds (certainly less than a minute) please record a short message for the WA Government Communications Team. Keep it concise.    * A personal reflection on how it feels to have a state government genuinely listen to your feedback and lived experience.  * Why you applaud The WA Government for their effort in making critical support material for victims of domestic violence more accessible  * One thing that stood out to you about the website&#x20;","Keep it short and genuine. A simple “thank you for listening to my feedback”  is perfect. Speak from your own experience and keep your message brief ","1 min max ","","true","false",""
"11","Easy Read and Translated Resources","### Objective    This task explores whether Easy Read and translated resources published by the WA Government help people with different literacy levels, disabilities, or language backgrounds understand coercive control and access support.    The task will assess whether these resources are clear, accessible, culturally appropriate, and useful, and whether they are easy for people to find and use.    #### Task&#x20;    Open the resource and review it from beginning to end.    As you read, talk through your thoughts and reactions.    Please explain whether it is clear who the resource is for, whether it helps you understand what coercive control means, and whether the language is easy to understand.    Also comment on whether the layout, images, and structure help you follow the information, and highlight anything that feels confusing or difficult to understand.    Finally, tell us whether the resource feels useful in a real situation, whether you would share it with someone else, and what could be improved to make it clearer or easier to use.    NOTE: If you speak English as a second language, please interact with one of the [translated resources available via this URL instead of the main page.](https://www.wa.gov.au/organisation/department-of-communities/translated-resources-help-raise-awareness-about-coercive-control ""Translated resources"")","These resources are designed to support people with different literacy levels and language backgrounds. If anything feels unclear, confusing, or difficult to understand, please explain what you would change and why. If you were explaining coercive control to a friend after reading this resource, how would you describe it in your own words?","15 mins","CNT","false","false","https://www.wa.gov.au/system/files/2024-11/family-domestic-violence-understanding-coercive-control-easy-read.pdf"
"12","Making a Safety Plan Information","#### **Objective**    This task aims to evaluate how useful, accessible, and supportive the *Making a safety plan* page is for people experiencing family and domestic violence or coercive control. Participants will assess whether the information helps them understand *why* a safety plan is important, *how* to create one in practice.&#x20;    #### Task&#x20;    Open the page and review the information from beginning to end. Please explain:    * Whether the page clearly explains what a safety plan is and why it is important  * Whether the advice feels practical and achievable in real life  * Whether the amount of information feels manageable or overwhelming    Finally, please tell us:    * Whether this is a resource you would actually use or return to in a real situation  * Whether you would share it with someone who might need help  * What could be improved to make the information clearer or more useful","Please review the page as if you were deciding whether it would genuinely help you or someone else stay safe. If anything feels confusing, overwhelming, or unrealistic to follow, please explain what you would change and why.","10 mins max ","CNT","false","false","https://www.wa.gov.au/organisation/department-of-communities/making-safety-plan"
"9","My Situation Resources ","**This is an important part of the project**    #### **Objective**    The WA Government has invested significant time and effort creating information and support resources about coercive control and family and domestic violence for different groups within the community.    While this is an important goal, it is equally important to understand whether these resources actually appeal to and resonate with the people they are intended to support. Creating tailored information is only valuable if people can easily find it and feel it is relevant to them.    This task explores whether participants with any specific resources provided under “My situation”,  whether any of the resources feel personally relevant, and whether the information provided is helpful, clear, and supportive.    #### Task    Please look at the different resources or pathways available. First, tell us:    * Whether any of these options immediately stand out to you  * Whether any feel more relevant or tailored to your circumstances  * If something draws your attention, explain which option you are drawn to and why    Then open the resource that feels most relevant and read through the information.    As you review it, please describe:    * Whether the information feels helpful and relevant to you  * Whether the language and guidance are clear and easy to understand  * Whether the content feels supportive and practical    We'll ask you to score this landing page - called My Situation Resources in the survey. Please take a note when you're finished this task","If none of the options immediately feel relevant to you, please explain why and describe what you would expect to see instead. Your feedback helps identify whether the resources reflect the needs of different members of the community.","20 mins max ","CNT","false","false","https://www.wa.gov.au/organisation/department-of-communities/my-situation"
"10","Helplines and Support Information","### **Objective**    This task aims to evaluate how useful, understandable, and accessible the WA Government’s *Family and Domestic Violence helplines and support services* page is for people seeking help or supporting someone else. Participants will assess whether the information presented helps them quickly understand what support is available, who it is for, and how to choose the most appropriate service.&#x20;    ## Task    Open the page and review the information about helplines and support services. As you read through the page, please talk through your thoughts and reactions.    Please comment on:    * Your first impression of the page and how it makes you feel  * Whether it is easy to scan the page and find relevant help  * Whether the differences between services are clear  * Whether you feel confident choosing which service you would contact  * Which service would you most likely use and why    Why do you think the 'quick exit' button is there and is it helpful?    Please also take some time to provide suggestions if you feel it could be improved.&#x20;","Please review the page as if you were trying to quickly find help for yourself or someone else. If anything feels unclear, overwhelming, or difficult to use, please explain what you would change and why.","10 mins max ","","false","false","https://www.wa.gov.au/organisation/department-of-communities/family-and-domestic-violence-helplines-and-support-services"
